g:id,title,description,link,g:image_link,g:additional_image_link,g:brand,g:gtin,g:mpn,g:price,g:sale_price,g:availability,g:condition,g:product_type,g:google_product_category,g:item_group_id,g:color,g:size,g:material,g:shipping_weight,g:product_rating,g:number_of_ratings,is_eligible_search,is_eligible_checkout,bandenmaat,breedte_mm,wielmaat,druk_bar,antilek,tubeless,wasvoorschrift,garantie,aansluiting,samenstelling,lichtdoorlatendheid
SKU-1092,Vredestein Elektronica 1092,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1092,https://picsum.photos/seed/1092/300/300,,Vredestein,,VRE-1092,43.53 EUR,,in stock,new,Elektronica > Verlichting,3235,,Wit,,,1062 g,,,true,,,,,,,,,2 jaar,Micro-USB,,
SKU-1038,Kenda Fietsbanden 1038,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1038,https://picsum.photos/seed/1038/300/300,,Kenda,874635051491,KEN-1038,24.97 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Wit,,,,,,true,,47-559,37,,,GreenGuard,,,,,,
SKU-1098,Schwalbe Woontextiel 1098,Mooi product.,https://voorbeeldshop.nl/p/sku-1098,https://picsum.photos/seed/1098/300/300,,Schwalbe,871397848445,,78.39 EUR,,in stock,new,Woontextiel > Gordijnstof,3235,,Wit,,,,,,true,true,,,,,,,,,,,Verduisterend
SKU-1066,Michelin Kleding 1066,"Michelin kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1066,https://picsum.photos/seed/1066/300/300,,Michelin,874733210714,,18.23 EUR,,out of stock,,Kleding > Fietskleding,3235,GRP-213,Wit,M,,1351 g,,,true,true,,,,,,,,,,,
SKU-1107,Vredestein Woontextiel 1107,"Vredestein woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1107,https://picsum.photos/seed/1107/300/300,,Vredestein,875918327034,,88.79 EUR,,out of stock,new,Woontextiel > Gordijnstof,3235,,Wit,,,,,,true,,,,,,,,,,,100% polyester,
SKU-1019,Michelin Fietsbanden 1019,"Michelin fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1019,https://picsum.photos/seed/1019/300/300,https://picsum.photos/seed/1019b/300/300,Michelin,873923430371,,10.26 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,Zwart,,,335 g,,,true,,37-622,37,28 inch,,Puncture Protect,,,,,,
SKU-1047,Kenda Kleding 1047,"Kenda kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1047,https://picsum.photos/seed/1047/300/300,https://picsum.photos/seed/1047b/300/300,Kenda,879469210523,,86.05 EUR,,in stock,,Kleding > Fietskleding,3235,GRP-209,Wit,M,,,,,true,true,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1045,Kenda Kleding 1045,"Kenda kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1045,https://picsum.photos/seed/1045/300/300,,Kenda,871188987101,,43.24 EUR,,in stock,new,Kleding > Fietskleding,,GRP-209,Zwart,M,Polyester/elastaan,,,,true,true,,,,,,,,,,,
SKU-1079,Vredestein Elektronica 1079,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1079,https://picsum.photos/seed/1079/300/300,,Vredestein,,VRE-1079,41.95 EUR,,in stock,new,Elektronica > Verlichting,,,Blauw,,,,,,true,,,,,,,,,,USB-C,,
SKU-1053,Vredestein Kleding 1053,"Vredestein kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1053,https://picsum.photos/seed/1053/300/300,,Vredestein,,VRE-1053,61.66 EUR,,in stock,new,Kleding > Fietskleding,,GRP-210,Zwart,XL,Polyester/elastaan,,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1072,Continental Elektronica 1072,"Continental elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1072,https://picsum.photos/seed/1072/300/300,,Continental,,CON-1072,54.27 EUR,,in stock,new,Elektronica > Verlichting,,,Zwart,,,,,,true,true,,,,,,,,,Micro-USB,,
SKU-1005,Continental Fietsbanden 1005,Mooi product.,https://voorbeeldshop.nl/p/sku-1005,https://picsum.photos/seed/1005/300/300,,Continental,875346777758,CON-1005,24.92 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,852 g,3.6,119,true,true,47-559,40,,,,,,,,,
SKU-1080,Michelin Elektronica 1080,Mooi product.,https://voorbeeldshop.nl/p/sku-1080,https://picsum.photos/seed/1080/300/300,,Michelin,,MIC-1080,73.10 EUR,,in stock,new,Elektronica > Verlichting,,,Zwart,,,1214 g,,,true,,,,,,,,,2 jaar,,,
SKU-1049,Schwalbe Kleding 1049,Mooi product.,https://voorbeeldshop.nl/p/sku-1049,https://picsum.photos/seed/1049/300/300,https://picsum.photos/seed/1049b/300/300,Schwalbe,,,13.81 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-209,Wit,XL,,1293 g,3.7,228,true,true,,,,,,,,,,,
SKU-1043,Vredestein Kleding 1043,"Vredestein kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1043,https://picsum.photos/seed/1043/300/300,https://picsum.photos/seed/1043b/300/300,Vredestein,879597626724,,22.22 EUR,,in stock,new,Kleding > Fietskleding,,GRP-208,Blauw,S,,470 g,,,true,true,,,,,,,,,,,
SKU-1116,Vredestein Artikel 1116,Mooi product.,https://voorbeeldshop.nl/p/sku-1116,https://picsum.photos/seed/1116/300/300,,Vredestein,,,41.18 EUR,,in stock,new,,,,Blauw,,,228 g,,,true,true,,,,,,,,,,,
SKU-1024,Vredestein Fietsbanden 1024,Mooi product.,https://voorbeeldshop.nl/p/sku-1024,https://picsum.photos/seed/1024/300/300,https://picsum.photos/seed/1024b/300/300,Vredestein,876412384889,,34.63 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Wit,,,353 g,,,true,true,40-622,40,26 inch,,,,,,,,
SKU-1095,Schwalbe Elektronica 1095,"Schwalbe elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1095,https://picsum.photos/seed/1095/300/300,https://picsum.photos/seed/1095b/300/300,Schwalbe,876318298757,SCH-1095,12.68 EUR,,in stock,new,Elektronica > Verlichting,3235,,Zwart,,,,,,true,,,,,,,,,2 jaar,,,
SKU-1020,Vredestein Fietsbanden 1020,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1020,https://picsum.photos/seed/1020/300/300,https://picsum.photos/seed/1020b/300/300,Vredestein,879922673519,,30.79 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Wit,,,,,,true,,47-559,,,,Puncture Protect,,,,,,
SKU-1059,Continental Kleding 1059,Mooi product.,https://voorbeeldshop.nl/p/sku-1059,https://picsum.photos/seed/1059/300/300,https://picsum.photos/seed/1059b/300/300,Continental,873724291103,,56.03 EUR,,out of stock,new,Kleding > Fietskleding,3235,GRP-211,Blauw,M,Polyester/elastaan,1046 g,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1034,Continental Fietsbanden 1034,Mooi product.,https://voorbeeldshop.nl/p/sku-1034,https://picsum.photos/seed/1034/300/300,https://picsum.photos/seed/1034b/300/300,Continental,872401610689,,30.13 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,Zwart,,,275 g,,,true,,37-622,40,,,,,,,,,
SKU-1099,Continental Woontextiel 1099,"Continental woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1099,https://picsum.photos/seed/1099/300/300,https://picsum.photos/seed/1099b/300/300,Continental,879546868369,,43.09 EUR,,out of stock,new,Woontextiel > Gordijnstof,,,Zwart,,,387 g,,,true,,,,,,,,,,,100% polyester,
SKU-1057,Continental Kleding 1057,"Continental kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1057,https://picsum.photos/seed/1057/300/300,,Continental,,CON-1057,84.38 EUR,,in stock,,Kleding > Fietskleding,3235,GRP-211,Wit,XL,Polyester/elastaan,609 g,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1054,Kenda Kleding 1054,Mooi product.,https://voorbeeldshop.nl/p/sku-1054,https://picsum.photos/seed/1054/300/300,,Kenda,873991718889,,31.90 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-210,Wit,L,,707 g,,,true,true,,,,,,,,,,,
SKU-1067,Schwalbe Kleding 1067,"Schwalbe kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1067,https://picsum.photos/seed/1067/300/300,,Schwalbe,877032919217,,65.69 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-213,Wit,XL,,,,,true,,,,,,,,,,,,
SKU-1030,Kenda Fietsbanden 1030,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1030,https://picsum.photos/seed/1030/300/300,,Kenda,876719597153,,10.22 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Zwart,,,624 g,,,true,true,40-622,40,,3-6 bar,,,,,,,
SKU-1073,Vredestein Elektronica 1073,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1073,https://picsum.photos/seed/1073/300/300,,Vredestein,871639988874,VRE-1073,50.39 EUR,,in stock,new,Elektronica > Verlichting,,,,,,519 g,,,true,,,,,,,,,2 jaar,,,
SKU-1051,Michelin Kleding 1051,"Michelin kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1051,https://picsum.photos/seed/1051/300/300,,Michelin,879796595952,,68.51 EUR,,in stock,new,Kleding > Fietskleding,,GRP-210,,S,Polyester/elastaan,,,,true,true,,,,,,,,,,,
SKU-1083,Continental Elektronica 1083,Mooi product.,https://voorbeeldshop.nl/p/sku-1083,https://picsum.photos/seed/1083/300/300,https://picsum.photos/seed/1083b/300/300,Continental,872907877500,CON-1083,17.68 EUR,,out of stock,new,Elektronica > Verlichting,,,,,,,,,true,,,,,,,,,,,,
SKU-1102,Schwalbe Woontextiel 1102,"Schwalbe woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1102,https://picsum.photos/seed/1102/300/300,https://picsum.photos/seed/1102b/300/300,Schwalbe,877531697678,SCH-1102,64.88 EUR,,out of stock,new,Woontextiel > Gordijnstof,3235,,Zwart,,,786 g,3.6,65,true,true,,,,,,,,,,,
SKU-1050,Vredestein Kleding 1050,"Vredestein kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1050,https://picsum.photos/seed/1050/300/300,,Vredestein,873775924107,,37.55 EUR,,in stock,new,Kleding > Fietskleding,,GRP-210,Blauw,XL,Polyester/elastaan,,,,true,true,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1097,Schwalbe Woontextiel 1097,Mooi product.,https://voorbeeldshop.nl/p/sku-1097,https://picsum.photos/seed/1097/300/300,,Schwalbe,,SCH-1097,33.80 EUR,,in stock,new,Woontextiel > Gordijnstof,,,,,,,,,true,true,,,,,,,,,,100% polyester,Verduisterend
SKU-1006,Continental Fietsbanden 1006,Mooi product.,https://voorbeeldshop.nl/p/sku-1006,https://picsum.photos/seed/1006/300/300,https://picsum.photos/seed/1006b/300/300,Continental,,,53.94 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,Zwart,,,970 g,,,true,,40-622,40,,4-6 bar,,,,,,,
SKU-1086,Vredestein Elektronica 1086,Mooi product.,https://voorbeeldshop.nl/p/sku-1086,https://picsum.photos/seed/1086/300/300,,Vredestein,,VRE-1086,19.25 EUR,,in stock,new,Elektronica > Verlichting,,,Zwart,,,1252 g,3.7,122,true,true,,,,,,,,,Micro-USB,,
SKU-1027,Schwalbe Fietsbanden 1027,"Schwalbe fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1027,https://picsum.photos/seed/1027/300/300,,Schwalbe,,,62.11 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Zwart,,,,4.1,102,true,,47-559,,26 inch,,,,,,,,
SKU-1004,Vredestein Fietsbanden 1004,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1004,https://picsum.photos/seed/1004/300/300,https://picsum.photos/seed/1004b/300/300,Vredestein,879335022133,,60.03 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,,,,true,,40-622,,,,Puncture Protect,,,,,,
SKU-1012,Continental Fietsbanden 1012,"Continental fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1012,https://picsum.photos/seed/1012/300/300,,Continental,,,15.93 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,516 g,4.6,39,true,,37-622,37,28 inch,,,,,,,,
SKU-1090,Vredestein Elektronica 1090,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1090,https://picsum.photos/seed/1090/300/300,https://picsum.photos/seed/1090b/300/300,Vredestein,877261643161,VRE-1090,33.98 EUR,,in stock,new,Elektronica > Verlichting,3235,,,,,213 g,,,true,true,,,,,,,,,Micro-USB,,
SKU-1069,Schwalbe Kleding 1069,Mooi product.,https://voorbeeldshop.nl/p/sku-1069,https://picsum.photos/seed/1069/300/300,https://picsum.photos/seed/1069b/300/300,Schwalbe,875637192755,,69.74 EUR,,out of stock,new,Kleding > Fietskleding,3235,GRP-213,,XL,,847 g,,,true,true,,,,,,,,,,,
SKU-1120,Vredestein Artikel 1120,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1120,https://picsum.photos/seed/1120/300/300,https://picsum.photos/seed/1120b/300/300,Vredestein,874840560981,VRE-1120,38.59 EUR,,in stock,,,,,,,,,,,true,true,,,,,,,,,,,
SKU-1076,Schwalbe Elektronica 1076,"Schwalbe elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1076,https://picsum.photos/seed/1076/300/300,https://picsum.photos/seed/1076b/300/300,Schwalbe,,SCH-1076,72.07 EUR,,out of stock,,Elektronica > Verlichting,,,Blauw,,,,,,true,,,,,,,,,2 jaar,,,
SKU-1032,Michelin Fietsbanden 1032,"Michelin fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1032,https://picsum.photos/seed/1032/300/300,,Michelin,,,50.41 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,509 g,,,true,,40-622,47,,,GreenGuard,,,,,,
SKU-1042,Schwalbe Kleding 1042,"Schwalbe kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1042,https://picsum.photos/seed/1042/300/300,,Schwalbe,875744258668,SCH-1042,61.58 EUR,,in stock,new,Kleding > Fietskleding,,GRP-208,,S,,1382 g,,,true,,,,,,,,,,,,
SKU-1061,Vredestein Kleding 1061,"Vredestein kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1061,https://picsum.photos/seed/1061/300/300,,Vredestein,,VRE-1061,63.72 EUR,,in stock,new,Kleding > Fietskleding,,GRP-212,Wit,M,Polyester/elastaan,580 g,,,true,,,,,,,,,,,,
SKU-1048,Kenda Kleding 1048,"Kenda kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1048,https://picsum.photos/seed/1048/300/300,https://picsum.photos/seed/1048b/300/300,Kenda,874683032202,,69.35 EUR,,in stock,new,Kleding > Fietskleding,,GRP-209,Wit,M,,,,,true,true,,,,,,,,,,,
SKU-1056,Schwalbe Kleding 1056,"Schwalbe kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1056,https://picsum.photos/seed/1056/300/300,https://picsum.photos/seed/1056b/300/300,Schwalbe,874661219050,,62.54 EUR,,in stock,new,Kleding > Fietskleding,,GRP-211,Zwart,M,Polyester/elastaan,696 g,,,true,true,,,,,,,,,,,
SKU-1082,Continental Elektronica 1082,"Continental elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1082,https://picsum.photos/seed/1082/300/300,https://picsum.photos/seed/1082b/300/300,Continental,875557853669,CON-1082,88.14 EUR,,out of stock,new,Elektronica > Verlichting,3235,,Wit,,,,4.2,161,true,,,,,,,,,,,,
SKU-1062,Kenda Kleding 1062,"Kenda kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1062,https://picsum.photos/seed/1062/300/300,https://picsum.photos/seed/1062b/300/300,Kenda,,,53.47 EUR,,in stock,new,Kleding > Fietskleding,,GRP-212,Zwart,XL,,741 g,,,true,true,,,,,,,,,,,
SKU-1014,Kenda Fietsbanden 1014,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1014,https://picsum.photos/seed/1014/300/300,,Kenda,875679204547,,66.36 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Zwart,,,733 g,,,true,true,37-622,,,,Puncture Protect,,,,,,
SKU-1064,Vredestein Kleding 1064,Mooi product.,https://voorbeeldshop.nl/p/sku-1064,https://picsum.photos/seed/1064/300/300,https://picsum.photos/seed/1064b/300/300,Vredestein,874918436830,,38.00 EUR,,in stock,new,Kleding > Fietskleding,,GRP-212,Blauw,L,,,4.7,88,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1104,Continental Woontextiel 1104,"Continental woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1104,https://picsum.photos/seed/1104/300/300,,Continental,871397453474,,21.22 EUR,,in stock,new,Woontextiel > Gordijnstof,3235,,,,,,,,true,,,,,,,,,,,100% polyester,Transparant
SKU-1021,Michelin Fietsbanden 1021,Mooi product.,https://voorbeeldshop.nl/p/sku-1021,https://picsum.photos/seed/1021/300/300,,Michelin,876448841365,,87.45 EUR,,in stock,,Fietsbanden > Stadsfiets,,,Blauw,,,471 g,,,true,true,40-622,47,,,Puncture Protect,,,,,,
SKU-1096,Continental Woontextiel 1096,"Continental woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1096,https://picsum.photos/seed/1096/300/300,https://picsum.photos/seed/1096b/300/300,Continental,878799225865,,59.35 EUR,,in stock,new,Woontextiel > Gordijnstof,3235,,Zwart,,,,,,true,true,,,,,,,,,,,
SKU-1002,Vredestein Fietsbanden 1002,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1002,https://picsum.photos/seed/1002/300/300,https://picsum.photos/seed/1002b/300/300,Vredestein,,,25.38 EUR,,in stock,,Fietsbanden > Stadsfiets,3235,,Zwart,,,1216 g,,,true,,40-622,40,,,,,,,,,
SKU-1088,Continental Elektronica 1088,"Continental elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1088,https://picsum.photos/seed/1088/300/300,,Continental,877405545819,CON-1088,27.69 EUR,,in stock,,Elektronica > Verlichting,,,Zwart,,,912 g,,,true,,,,,,,,,,,,
SKU-1112,Continental Artikel 1112,"Continental artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1112,https://picsum.photos/seed/1112/300/300,,Continental,871407870370,,30.59 EUR,,out of stock,new,,3235,,Wit,,,431 g,,,true,true,,,,,,,,,,,
SKU-1001,Vredestein Fietsbanden 1001,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1001,https://picsum.photos/seed/1001/300/300,,Vredestein,,VRE-1001,17.70 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,Wit,,,,,,true,,37-622,37,28 inch,3-7 bar,GreenGuard,,,,,,
SKU-1018,Kenda Fietsbanden 1018,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1018,https://picsum.photos/seed/1018/300/300,,Kenda,877857170022,KEN-1018,69.02 EUR,,in stock,,Fietsbanden > Stadsfiets,3235,,Wit,,,,4.8,190,true,true,47-559,,28 inch,3-5 bar,,,,,,,
SKU-1114,Kenda Artikel 1114,"Kenda artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1114,https://picsum.photos/seed/1114/300/300,,Kenda,,,84.41 EUR,,in stock,new,,3235,,Zwart,,,926 g,,,true,true,,,,,,,,,,,
SKU-1113,Kenda Artikel 1113,"Kenda artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1113,https://picsum.photos/seed/1113/300/300,https://picsum.photos/seed/1113b/300/300,Kenda,,KEN-1113,69.10 EUR,,out of stock,,,3235,,,,,592 g,,,true,true,,,,,,,,,,,
SKU-1110,Vredestein Woontextiel 1110,Mooi product.,https://voorbeeldshop.nl/p/sku-1110,https://picsum.photos/seed/1110/300/300,https://picsum.photos/seed/1110b/300/300,Vredestein,873437459054,,54.44 EUR,,in stock,new,Woontextiel > Gordijnstof,,,Wit,,,366 g,,,true,,,,,,,,,,,100% polyester,Transparant
SKU-1084,Michelin Elektronica 1084,Mooi product.,https://voorbeeldshop.nl/p/sku-1084,https://picsum.photos/seed/1084/300/300,https://picsum.photos/seed/1084b/300/300,Michelin,873257501070,MIC-1084,87.10 EUR,,in stock,new,Elektronica > Verlichting,,,Wit,,,1092 g,4.5,211,true,,,,,,,,,,Micro-USB,,
