sku,name,brand,category_path,description,image_url,color,material,width_cm,weight,ean,product_type,care_instructions,light_transmission,size,gender,model_number,compatibility,tyre_size,wheel_size,puncture_protection,connection,warranty
SKU-1012,Vredestein Fietsbanden 1012,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1012/300/300,Groen,,,,877888241012,Fietsbanden,,,,,,,40-635,26 inch,Anti-lek laag,,
SKU-1013,Vredestein Fietsbanden 1013,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1013/300/300,,,,,877888241013,Fietsbanden,,,,,,,,700c,Geen,,
SKU-1014,Vredestein Fietsbanden 1014,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1014/300/300,Wit,,,,877888241014,Fietsbanden,,,,,,,,,Geen,,
SKU-1015,Vredestein Fietsbanden 1015,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1015/300/300,Groen,,,,877888241015,Fietsbanden,,,,,,,40-635,700c,Anti-lek laag,,
SKU-1016,Vredestein Fietsbanden 1016,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1016/300/300,Blauw,,,,877888241016,Fietsbanden,,,,,,,,28 inch,Geen,,
SKU-1017,Vredestein Fietsbanden 1017,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1017/300/300,,,,,877888241017,Fietsbanden,,,,,,,40-635,26 inch,,,
SKU-1018,Vredestein Fietsbanden 1018,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1018/300/300,Zand,,,,877888241018,Fietsbanden,,,,,,,,26 inch,,,
SKU-1019,Vredestein Fietsbanden 1019,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1019/300/300,Zand,,,,877888241019,Fietsbanden,,,,,,,,28 inch,Anti-lek laag,,
SKU-1020,Vredestein Fietsbanden 1020,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1020/300/300,Zwart,,,,877888241020,Fietsbanden,,,,,,,47-559,28 inch,Geen,,
SKU-1021,Vredestein Fietsbanden 1021,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1021/300/300,,,,,877888241021,Fietsbanden,,,,,,,25-622,,Anti-lek laag,,
SKU-1022,Vredestein Fietsbanden 1022,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1022/300/300,Zand,,,,877888241022,Fietsbanden,,,,,,,,,,,
SKU-1023,Vredestein Fietsbanden 1023,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1023/300/300,Wit,,,,877888241023,Fietsbanden,,,,,,,40-635,26 inch,Anti-lek laag,,
SKU-1024,Vredestein Fietsbanden 1024,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1024/300/300,Blauw,,,,877888241024,Fietsbanden,,,,,,,47-559,28 inch,Anti-lek laag,,
SKU-1025,Vredestein Fietsbanden 1025,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1025/300/300,,,,,877888241025,Fietsbanden,,,,,,,47-559,26 inch,Anti-lek laag,,
SKU-1026,Vredestein Fietsbanden 1026,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1026/300/300,Blauw,,,,877888241026,Fietsbanden,,,,,,,47-559,26 inch,Geen,,
SKU-1027,Vredestein Fietsbanden 1027,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1027/300/300,Zwart,,,,877888241027,Fietsbanden,,,,,,,40-635,,Geen,,
SKU-1028,Vredestein Fietsbanden 1028,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1028/300/300,Groen,,,,877888241028,Fietsbanden,,,,,,,37-622,,,,
SKU-1029,Vredestein Fietsbanden 1029,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1029/300/300,,,,,877888241029,Fietsbanden,,,,,,,47-559,28 inch,,,
SKU-1030,Vredestein Fietsbanden 1030,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1030/300/300,Wit,,,,877888241030,Fietsbanden,,,,,,,37-622,,Anti-lek laag,,
SKU-1031,Vredestein Fietsbanden 1031,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1031/300/300,Groen,,,,877888241031,Fietsbanden,,,,,,,47-559,28 inch,Geen,,
SKU-1032,Vredestein Fietsbanden 1032,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1032/300/300,Blauw,,,,877888241032,Fietsbanden,,,,,,,47-559,,,,
SKU-1033,Vredestein Fietsbanden 1033,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1033/300/300,,,,,877888241033,Fietsbanden,,,,,,,,700c,Anti-lek laag,,
SKU-1034,Vredestein Fietsbanden 1034,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1034/300/300,Zwart,,,,877888241034,Fietsbanden,,,,,,,,28 inch,Geen,,
SKU-1035,Vredestein Fietsbanden 1035,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1035/300/300,Zand,,,,877888241035,Fietsbanden,,,,,,,,,Geen,,
SKU-1036,Vredestein Fietsbanden 1036,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1036/300/300,Zwart,,,,877888241036,Fietsbanden,,,,,,,47-559,26 inch,Anti-lek laag,,
SKU-1037,Vredestein Fietsbanden 1037,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1037/300/300,,,,,877888241037,Fietsbanden,,,,,,,25-622,,Anti-lek laag,,
SKU-1038,Vredestein Fietsbanden 1038,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1038/300/300,Zand,,,,877888241038,Fietsbanden,,,,,,,,,Anti-lek laag,,
SKU-1039,Vredestein Fietsbanden 1039,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1039/300/300,Zand,,,,877888241039,Fietsbanden,,,,,,,,700c,Geen,,
SKU-1040,Vredestein Fietsbanden 1040,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1040/300/300,Zwart,,,,877888241040,Fietsbanden,,,,,,,,28 inch,Geen,,
SKU-1041,Agu Kleding 1041,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1041/300/300,,,,,877888241041,Kleding,,,,unisex,,,,,,,
SKU-1042,Agu Kleding 1042,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1042/300/300,Groen,,,,877888241042,Kleding,"30 graden wasbaar, niet centrifugeren",,M,unisex,,,,,,,
SKU-1043,Agu Kleding 1043,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1043/300/300,Zand,,,,877888241043,Kleding,"30 graden wasbaar, niet centrifugeren",,,heren,,,,,,,
SKU-1044,Agu Kleding 1044,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1044/300/300,Groen,,,,877888241044,Kleding,,,L,dames,,,,,,,
SKU-1045,Agu Kleding 1045,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1045/300/300,,,,,877888241045,Kleding,"30 graden wasbaar, niet centrifugeren",,L,,,,,,,,
SKU-1046,Agu Kleding 1046,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1046/300/300,Wit,,,,877888241046,Kleding,,,M,heren,,,,,,,
SKU-1047,Agu Kleding 1047,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1047/300/300,Blauw,,,,877888241047,Kleding,"30 graden wasbaar, niet centrifugeren",,M,dames,,,,,,,
SKU-1048,Agu Kleding 1048,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1048/300/300,Wit,,,,877888241048,Kleding,"30 graden wasbaar, niet centrifugeren",,XL,,,,,,,,
SKU-1049,Agu Kleding 1049,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1049/300/300,,,,,877888241049,Kleding,"30 graden wasbaar, niet centrifugeren",,L,heren,,,,,,,
SKU-1050,Agu Kleding 1050,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1050/300/300,Zwart,,,,877888241050,Kleding,"30 graden wasbaar, niet centrifugeren",,M,dames,,,,,,,
SKU-1051,Agu Kleding 1051,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1051/300/300,Wit,,,,877888241051,Kleding,,,,dames,,,,,,,
SKU-1052,Agu Kleding 1052,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1052/300/300,Blauw,,,,877888241052,Kleding,"30 graden wasbaar, niet centrifugeren",,,heren,,,,,,,
SKU-1053,Agu Kleding 1053,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1053/300/300,,,,,877888241053,Kleding,"30 graden wasbaar, niet centrifugeren",,M,heren,,,,,,,
SKU-1054,Agu Kleding 1054,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1054/300/300,Blauw,,,,877888241054,Kleding,"30 graden wasbaar, niet centrifugeren",,,dames,,,,,,,
SKU-1055,Agu Kleding 1055,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1055/300/300,Zand,,,,877888241055,Kleding,"30 graden wasbaar, niet centrifugeren",,S,dames,,,,,,,
SKU-1056,Agu Kleding 1056,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1056/300/300,Blauw,,,,877888241056,Kleding,"30 graden wasbaar, niet centrifugeren",,,,,,,,,,
SKU-1057,Agu Kleding 1057,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1057/300/300,,,,,877888241057,Kleding,"30 graden wasbaar, niet centrifugeren",,L,dames,,,,,,,
SKU-1058,Agu Kleding 1058,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1058/300/300,Zand,,,,877888241058,Kleding,"30 graden wasbaar, niet centrifugeren",,,unisex,,,,,,,
SKU-1059,Agu Kleding 1059,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1059/300/300,Zwart,,,,877888241059,Kleding,,,,,,,,,,,
SKU-1060,Agu Kleding 1060,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1060/300/300,Zwart,,,,877888241060,Kleding,"30 graden wasbaar, niet centrifugeren",,L,heren,,,,,,,
SKU-1061,Agu Kleding 1061,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1061/300/300,,,,,877888241061,Kleding,"30 graden wasbaar, niet centrifugeren",,,,,,,,,,
SKU-1062,Agu Kleding 1062,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1062/300/300,Zand,,,,877888241062,Kleding,"30 graden wasbaar, niet centrifugeren",,XL,,,,,,,,
SKU-1063,Agu Kleding 1063,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1063/300/300,Blauw,,,,877888241063,Kleding,"30 graden wasbaar, niet centrifugeren",,S,heren,,,,,,,
SKU-1064,Agu Kleding 1064,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1064/300/300,Zwart,,,,877888241064,Kleding,"30 graden wasbaar, niet centrifugeren",,M,heren,,,,,,,
SKU-1065,Agu Kleding 1065,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1065/300/300,,,,,877888241065,Kleding,"30 graden wasbaar, niet centrifugeren",,,dames,,,,,,,
SKU-1066,Agu Kleding 1066,Agu,Kleding > Jassen,Korte tekst,https://picsum.photos/seed/1066/300/300,Wit,,,,877888241066,Kleding,,,,,,,,,,,
SKU-1067,Agu Kleding 1067,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1067/300/300,Groen,,,,877888241067,Kleding,"30 graden wasbaar, niet centrifugeren",,M,,,,,,,,
SKU-1068,Agu Kleding 1068,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1068/300/300,Groen,,,,877888241068,Kleding,,,M,heren,,,,,,,
SKU-1069,Agu Kleding 1069,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1069/300/300,,,,,877888241069,Kleding,"30 graden wasbaar, niet centrifugeren",,S,,,,,,,,
SKU-1070,Agu Kleding 1070,Agu,Kleding > Jassen,"Agu artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1070/300/300,Wit,,,,877888241070,Kleding,"30 graden wasbaar, niet centrifugeren",,XL,unisex,,,,,,,
SKU-1071,Garmin Elektronica 1071,Garmin,Elektronica > Fietscomputers,Korte tekst,https://picsum.photos/seed/1071/300/300,,,,,877888241071,Elektronica,,,,,GRM-1040,,,,,,2 jaar
SKU-1072,Garmin Elektronica 1072,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1072/300/300,Blauw,,,,877888241072,Elektronica,,,,,GRM-830,,,,,,2 jaar
SKU-1073,Garmin Elektronica 1073,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1073/300/300,Zwart,,,,877888241073,Elektronica,,,,,,,,,,USB-C,2 jaar
SKU-1074,Garmin Elektronica 1074,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1074/300/300,Zwart,,,,877888241074,Elektronica,,,,,GRM-1040,,,,,,2 jaar
SKU-1075,Garmin Elektronica 1075,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1075/300/300,,,,,877888241075,Elektronica,,,,,GRM-830,,,,,USB-C,2 jaar
SKU-1076,Garmin Elektronica 1076,Garmin,Elektronica > Fietscomputers,Korte tekst,https://picsum.photos/seed/1076/300/300,Zand,,,,877888241076,Elektronica,,,,,GRM-1040,,,,,,
SKU-1077,Garmin Elektronica 1077,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1077/300/300,Wit,,,,877888241077,Elektronica,,,,,GRM-540,,,,,,2 jaar
SKU-1078,Garmin Elektronica 1078,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1078/300/300,Blauw,,,,877888241078,Elektronica,,,,,GRM-1040,,,,,USB-C,2 jaar
SKU-1079,Garmin Elektronica 1079,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1079/300/300,,,,,877888241079,Elektronica,,,,,GRM-540,,,,,ANT+ en Bluetooth,2 jaar
SKU-1080,Garmin Elektronica 1080,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1080/300/300,Zand,,,,877888241080,Elektronica,,,,,GRM-1040,,,,,ANT+ en Bluetooth,2 jaar
SKU-1081,Garmin Elektronica 1081,Garmin,Elektronica > Fietscomputers,Korte tekst,https://picsum.photos/seed/1081/300/300,Wit,,,,877888241081,Elektronica,,,,,GRM-1040,,,,,,2 jaar
SKU-1082,Garmin Elektronica 1082,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1082/300/300,Wit,,,,877888241082,Elektronica,,,,,GRM-540,,,,,,
SKU-1083,Garmin Elektronica 1083,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1083/300/300,,,,,877888241083,Elektronica,,,,,GRM-1040,,,,,,
SKU-1084,Garmin Elektronica 1084,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1084/300/300,Blauw,,,,877888241084,Elektronica,,,,,,,,,,,2 jaar
SKU-1085,Garmin Elektronica 1085,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1085/300/300,Wit,,,,877888241085,Elektronica,,,,,,,,,,,
SKU-1086,Garmin Elektronica 1086,Garmin,Elektronica > Fietscomputers,Korte tekst,https://picsum.photos/seed/1086/300/300,Blauw,,,,877888241086,Elektronica,,,,,GRM-540,,,,,USB-C,
SKU-1087,Garmin Elektronica 1087,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1087/300/300,,,,,877888241087,Elektronica,,,,,GRM-1040,,,,,ANT+ en Bluetooth,2 jaar
SKU-1088,Garmin Elektronica 1088,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1088/300/300,Zand,,,,877888241088,Elektronica,,,,,GRM-1040,,,,,,
SKU-1089,Garmin Elektronica 1089,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1089/300/300,Wit,,,,877888241089,Elektronica,,,,,,,,,,ANT+ en Bluetooth,
SKU-1090,Garmin Elektronica 1090,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1090/300/300,Zand,,,,877888241090,Elektronica,,,,,GRM-540,,,,,,2 jaar
SKU-1091,Garmin Elektronica 1091,Garmin,Elektronica > Fietscomputers,Korte tekst,https://picsum.photos/seed/1091/300/300,,,,,877888241091,Elektronica,,,,,GRM-830,,,,,,2 jaar
SKU-1092,Garmin Elektronica 1092,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1092/300/300,Zwart,,,,877888241092,Elektronica,,,,,GRM-830,,,,,ANT+ en Bluetooth,2 jaar
SKU-1093,Garmin Elektronica 1093,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1093/300/300,Zwart,,,,877888241093,Elektronica,,,,,GRM-1040,,,,,USB-C,2 jaar
SKU-1094,Garmin Elektronica 1094,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1094/300/300,Zwart,,,,877888241094,Elektronica,,,,,GRM-1040,,,,,ANT+ en Bluetooth,2 jaar
SKU-1095,Garmin Elektronica 1095,Garmin,Elektronica > Fietscomputers,"Garmin artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1095/300/300,,,,,877888241095,Elektronica,,,,,GRM-830,,,,,USB-C,2 jaar
SKU-1096,De Groot Meubelstoffen 1096,De Groot,Meubelstoffen > Effen,Korte tekst,https://picsum.photos/seed/1096/300/300,,,150,,877888241096,Meubelstoffen,,,,,,,,,,,
SKU-1097,De Groot Meubelstoffen 1097,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1097/300/300,,"80% polyester, 20% linnen",280,,877888241097,Meubelstoffen,,,,,,,,,,,
SKU-1098,De Groot Meubelstoffen 1098,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1098/300/300,Zwart,,140,,877888241098,Meubelstoffen,,,,,,,,,,,
SKU-1099,De Groot Meubelstoffen 1099,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1099/300/300,Wit,,150,,877888241099,Meubelstoffen,,,,,,,,,,,
SKU-1100,De Groot Meubelstoffen 1100,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1100/300/300,Zand,100% katoen,,,877888241100,Meubelstoffen,,,,,,,,,,,
SKU-1101,De Groot Meubelstoffen 1101,De Groot,Meubelstoffen > Effen,Korte tekst,https://picsum.photos/seed/1101/300/300,Zand,100% katoen,,,877888241101,Meubelstoffen,,,,,,,,,,,
SKU-1102,De Groot Meubelstoffen 1102,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1102/300/300,Groen,,150,,877888241102,Meubelstoffen,,,,,,,,,,,
SKU-1103,De Groot Meubelstoffen 1103,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1103/300/300,Blauw,"80% polyester, 20% linnen",,,877888241103,Meubelstoffen,,,,,,,,,,,
